Region,CO2_RUNEX,CO2_Perc
Alpine,100.488297,0
Sierra,143.1006939,1.724137931
Modoc,232.7273103,3.448275862
Mariposa,264.7877696,5.172413793
Del Norte,336.3615579,6.896551724
Trinity,405.2814038,8.620689655
Plumas,442.5212194,10.34482759
Mono,502.6502543,12.06896552
Calaveras,565.1332521,13.79310345
Lassen,586.2941548,15.51724138
Tuolumne,608.2618431,17.24137931
Amador,613.3138661,18.96551724
Lake,763.2554958,20.68965517
Yuba,805.0957407,22.4137931
Glenn,873.7005889,24.13793103
Inyo,878.3013561,25.86206897
Colusa,1097.375324,27.5862069
San Benito,1208.400254,29.31034483
Sutter,1497.788552,31.03448276
Napa,1519.599567,32.75862069
Mendocino,1672.212049,34.48275862
Nevada,1700.872726,36.20689655
Humboldt,1753.560369,37.93103448
Siskiyou,1923.593666,39.65517241
Tehama,1929.048188,41.37931034
Santa Cruz,2027.417437,43.10344828
El Dorado,2050.256549,44.82758621
Butte,2239.210772,46.55172414
Kings,2935.705949,48.27586207
Madera,3113.628057,50
Imperial,3382.220929,51.72413793
Yolo,3384.374605,53.44827586
Shasta,3394.511026,55.17241379
Marin,3493.20994,56.89655172
San Luis Obispo,3902.983471,58.62068966
Sonoma,4530.400493,60.34482759
Placer,4579.290642,62.06896552
San Francisco,4606.44587,63.79310345
Santa Barbara,4885.907653,65.51724138
Monterey,5208.119511,67.24137931
Tulare,5210.956074,68.96551724
Merced,5639.396071,70.68965517
Stanislaus,6052.739036,72.4137931
Solano,7684.773833,74.13793103
San Mateo,7816.25939,75.86206897
Ventura,8600.55566,77.5862069
Fresno,10370.36786,79.31034483
San Joaquin,11087.11754,81.03448276
Contra Costa,11212.41055,82.75862069
Sacramento,17144.82477,84.48275862
Kern,19489.46601,86.20689655
Santa Clara,20302.3074,87.93103448
Alameda,20513.33218,89.65517241
Riverside,26632.6381,91.37931034
San Bernardino,31831.05079,93.10344828
Orange,36440.39485,94.82758621
San Diego,38035.2373,96.55172414
Los Angeles,118065.1305,98.27586207