Region,PM2_5_RUNEX,PM2_5_Perc
Alpine,0.001736925,0
Sierra,0.002394103,1.724137931
Modoc,0.005844936,3.448275862
Mariposa,0.005934514,5.172413793
Del Norte,0.007093044,6.896551724
Mono,0.009357348,8.620689655
Plumas,0.011914802,10.34482759
Trinity,0.012002355,12.06896552
Lassen,0.013084502,13.79310345
Inyo,0.015281681,15.51724138
Tuolumne,0.015294643,17.24137931
Calaveras,0.015807005,18.96551724
Yuba,0.016359179,20.68965517
Amador,0.016568313,22.4137931
Glenn,0.021007766,24.13793103
Lake,0.022067714,25.86206897
Colusa,0.022523608,27.5862069
Napa,0.030218154,29.31034483
San Benito,0.034077739,31.03448276
El Dorado,0.034492902,32.75862069
Nevada,0.038676987,34.48275862
Sutter,0.039330987,36.20689655
Santa Cruz,0.04617189,37.93103448
Siskiyou,0.049711163,39.65517241
Tehama,0.051094592,41.37931034
Mendocino,0.051430974,43.10344828
Humboldt,0.052982345,44.82758621
Marin,0.05623666,46.55172414
Butte,0.058670064,48.27586207
Imperial,0.063888105,50
Madera,0.064029086,51.72413793
Kings,0.067209813,53.44827586
Yolo,0.067900342,55.17241379
San Luis Obispo,0.07743339,56.89655172
Placer,0.082212036,58.62068966
San Francisco,0.085206558,60.34482759
Shasta,0.088719226,62.06896552
Santa Barbara,0.091451013,63.79310345
Monterey,0.095935816,65.51724138
Sonoma,0.098297171,67.24137931
San Mateo,0.111577736,68.96551724
Tulare,0.115274282,70.68965517
Solano,0.115587337,72.4137931
Ventura,0.124004974,74.13793103
Merced,0.134361296,75.86206897
Stanislaus,0.139562638,77.5862069
Contra Costa,0.157123668,79.31034483
San Joaquin,0.198345363,81.03448276
Sacramento,0.258313164,82.75862069
Fresno,0.261521336,84.48275862
Santa Clara,0.286195056,86.20689655
Alameda,0.399774032,87.93103448
Kern,0.442174517,89.65517241
Riverside,0.451636047,91.37931034
Orange,0.470869229,93.10344828
San Bernardino,0.486663289,94.82758621
San Diego,0.530481523,96.55172414
Los Angeles,1.703454477,98.27586207